"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"8873","Syria",2020-04-26,96,43,1,3,0,14,3,26,0.2,0,0.1,0,0
"8930","Taiwan",2020-04-26,96,429,0,6,0,281,6,142,1.8,0,0.6,40,0
"9000","Tanzania, United Republic of",2020-04-26,96,299,0,10,0,48,0,241,0.5,0,0.4,10,7
"9118","Thailand",2020-04-26,96,2922,15,51,0,2594,47,277,4.2,0,0.4,43,27
"9143","The Bahamas",2020-04-26,96,80,2,11,0,22,7,47,20.4,0.5,12,0,4
"9211","The Gambia",2020-04-26,96,10,0,1,0,8,0,1,0.4,0,0,0,0
"9224","Timor-Leste",2020-04-26,96,24,0,0,0,2,0,22,1.8,0,1.7,0,0
"9286","Togo",2020-04-26,96,98,2,6,0,62,0,30,1.2,0,0.4,0,0
"9300","Trinidad and Tobago",2020-04-26,96,115,0,8,0,54,1,53,8.2,0,3.8,23,0
"9381","Tunisia",2020-04-26,96,949,10,38,0,216,9,695,8,0.1,5.9,34,27
"9399","Turkey",2020-04-26,96,110130,2357,2805,99,29140,3558,78185,130.6,2.8,92.7,39,36
"9469","Uganda",2020-04-26,96,79,4,0,0,46,0,33,0.2,0,0.1,0,0
"9491","UK",2020-04-26,96,154037,4468,20794,413,778,4,132465,226.9,6.6,195.1,53,44
"9591","Ukraine",2020-04-26,96,8617,492,209,8,840,58,7568,19.7,1.1,17.3,33,29
"9690","United Arab Emirates",2020-04-26,96,10349,536,76,5,1978,91,8295,104.6,5.4,83.9,40,23
"9730","Uruguay",2020-04-26,96,606,10,15,1,375,5,216,17.4,0.3,6.2,37,8
"9803","USA",2020-04-26,96,965785,27631,54881,1126,106988,6616,803916,291.8,8.3,242.9,55,54
"9890","Uzbekistan",2020-04-26,96,1869,7,8,0,789,82,1072,5.6,0,3.2,30,0
"9897","Venezuela",2020-04-26,96,325,2,10,0,137,5,178,1.1,0,0.6,32,6
"10010","Vietnam",2020-04-26,96,270,0,0,0,225,0,45,0.3,0,0,36,0
"10041","West Bank and Gaza",2020-04-26,96,342,0,2,0,83,0,257,7.1,0,5.4,29,0
"10099","Western Sahara",2020-04-26,96,6,0,0,0,5,0,1,1,0,0.2,0,0
"10126","Yemen",2020-04-26,96,1,0,0,0,1,0,0,0,0,0,0,0
"10147","Zambia",2020-04-26,96,88,4,3,0,42,5,43,0.5,0,0.2,0,0
"10181","Zimbabwe",2020-04-26,96,31,0,4,0,2,0,25,0.2,0,0.2,0,0
